record_id,deviation_date,description,severity,action_taken,resolved_date,batch_number
1,2024-05-04 03:24:51,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-05 03:24:51,B20241119-001
2,2024-02-06 15:39:43,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-09 15:39:43,B20240704-002
3,2024-07-07 23:12:17,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-09 23:12:17,B20240811-003
4,2024-10-04 15:10:09,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-07 15:10:09,B20240726-004
5,2024-02-14 10:42:01,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-16 10:42:01,B20240512-005
6,2024-12-10 14:08:34,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-12 14:08:34,B20240715-006
7,2024-04-05 17:16:12,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-06 17:16:12,B20240518-007
8,2024-04-07 01:43:40,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-08 01:43:40,B20240901-008
9,2024-06-21 12:02:21,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-22 12:02:21,B20240718-009
10,2024-12-21 08:32:20,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-24 08:32:20,B20240309-010
11,2024-02-11 20:03:38,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-13 20:03:38,B20240205-011
12,2024-08-12 17:58:08,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-15 17:58:08,B20241012-012
13,2024-04-23 03:08:08,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-24 03:08:08,B20240124-013
14,2024-06-15 04:05:36,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-18 04:05:36,B20241017-014
15,2024-02-18 20:33:45,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-19 20:33:45,B20240215-015
16,2024-01-26 04:34:21,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-27 04:34:21,B20240628-016
17,2024-10-05 03:25:09,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-07 03:25:09,B20241010-017
18,2024-02-06 20:21:19,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-09 20:21:19,B20241206-018
19,2024-03-13 05:42:20,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-15 05:42:20,B20240305-019
20,2024-03-27 15:59:39,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-28 15:59:39,B20240330-020
21,2024-07-01 05:16:07,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-04 05:16:07,B20240303-021
22,2024-07-12 09:34:30,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-13 09:34:30,B20240626-022
23,2024-09-10 14:51:00,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-12 14:51:00,B20240322-023
24,2024-11-19 08:09:07,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-20 08:09:07,B20241112-024
25,2024-05-09 14:02:08,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-11 14:02:08,B20240909-025
26,2024-02-11 08:53:18,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-13 08:53:18,B20240525-026
27,2024-05-14 03:34:22,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-17 03:34:22,B20240904-027
28,2024-03-27 20:00:30,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-28 20:00:30,B20241106-028
29,2024-05-22 11:25:27,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-24 11:25:27,B20240918-029
30,2024-04-27 11:55:14,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-30 11:55:14,B20241122-030
31,2024-04-05 23:03:35,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-07 23:03:35,B20240903-031
32,2024-10-23 17:02:27,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-26 17:02:27,B20240530-032
33,2024-04-02 08:32:46,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-04 08:32:46,B20240506-033
34,2024-07-01 03:21:09,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-04 03:21:09,B20240602-034
35,2024-07-22 17:58:07,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-23 17:58:07,B20240926-035
36,2024-08-28 05:11:05,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-29 05:11:05,B20241003-036
37,2024-12-27 23:50:29,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-29 23:50:29,B20240228-037
38,2024-08-13 02:52:47,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-15 02:52:47,B20240126-038
39,2024-06-16 12:55:39,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-19 12:55:39,B20241214-039
