report_id,report_type,start_date,end_date,report_content
1,Weekly,2024-06-04,2024-06-10,Weekly production summary: Total output 31478 liters. Quality metrics within acceptable ranges...
2,Monthly,2024-04-02,2024-05-01,Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing...
3,Monthly,2024-10-10,2024-11-08,Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing...
4,Monthly,2024-10-05,2024-11-03,Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing...
5,Weekly,2024-05-31,2024-06-06,Weekly production summary: Total output 32031 liters. Quality metrics within acceptable ranges...
6,Monthly,2024-04-30,2024-05-29,Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing...
7,Monthly,2024-09-14,2024-10-13,Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing...
8,Monthly,2024-11-21,2024-12-20,Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing...
9,Weekly,2024-04-24,2024-04-30,Weekly production summary: Total output 34937 liters. Quality metrics within acceptable ranges...
10,Weekly,2024-08-24,2024-08-30,Weekly production summary: Total output 38696 liters. Quality metrics within acceptable ranges...
11,Weekly,2024-08-23,2024-08-29,Weekly production summary: Total output 34534 liters. Quality metrics within acceptable ranges...
12,Monthly,2024-11-20,2024-12-19,Monthly overview: Production decreased by 0% compared to last month. Continuous improvement initiatives ongoing...
13,Monthly,2024-02-18,2024-03-18,Monthly overview: Production decreased by 3% compared to last month. Continuous improvement initiatives ongoing...
14,Weekly,2024-07-24,2024-07-30,Weekly production summary: Total output 37849 liters. Quality metrics within acceptable ranges...
15,Weekly,2024-01-09,2024-01-15,Weekly production summary: Total output 37681 liters. Quality metrics within acceptable ranges...
16,Monthly,2024-08-11,2024-09-09,Monthly overview: Production decreased by 3% compared to last month. Continuous improvement initiatives ongoing...
17,Weekly,2024-04-15,2024-04-21,Weekly production summary: Total output 33726 liters. Quality metrics within acceptable ranges...
18,Weekly,2024-12-24,2024-12-30,Weekly production summary: Total output 30471 liters. Quality metrics within acceptable ranges...
