record_id,deviation_date,description,severity,action_taken,resolved_date
1,2024-05-13T14:50:25,Delayed fermentation for yogurt,Low,Increased culture inoculum amount.,2024-05-16T14:50:25
2,2024-06-08T13:16:43,Yield efficiency below target,Low,Optimized process parameters to minimize waste.,2024-06-09T13:16:43
3,2024-05-11T21:39:43,Shortcut in electrical system,High,Conducted electrical inspection and repair.,2024-05-14T21:39:43
4,2024-08-05T21:35:32,Excessive downtime in CIP system,Low,Revised CIP (Clean-In-Place) schedule and improved efficiency.,2024-08-08T21:35:32
5,2024-04-28T04:07:04,Low shelf life for yogurt,Low,Reviewed and adjusted fermentation process.,2024-04-29T04:07:04
6,2024-06-06T04:16:42,Power fluctuation causing machine downtime,High,Installed an additional uninterruptible power supply (UPS).,2024-06-09T04:16:42
7,2024-08-08T23:35:29,Overheating in pasteurizer,Low,Adjusted temperature settings to optimal range.,2024-08-11T23:35:29
8,2024-09-05T04:24:40,Delayed fermentation for yogurt,High,Increased culture inoculum amount.,2024-09-07T04:24:40
9,2024-07-18T05:27:57,Clog in pasteurizer,High,Cleared clog and cleaned entire pasteurizer.,2024-07-20T05:27:57
10,2024-10-07T19:13:59,Flavor inconsistency in yogurt,Low,Standardized ingredient proportions more strictly.,2024-10-08T19:13:59
11,2024-07-13T01:31:33,Raw milk delivery temperature above 4°C,Medium,Requested new delivery protocol from supplier.,2024-07-15T01:31:33
12,2024-06-02T19:26:05,Raw milk temperature too high during offloading,Medium,Adjusted chiller settings and monitored closely.,2024-06-03T19:26:05
14,2024-06-27T18:56:59,Inefficiency in milk clarification,High,Enhanced clarification process and reassessed equipment.,2024-06-29T18:56:59
15,2024-04-30T10:29:37,Flavor inconsistency in yogurt,High,Standardized ingredient proportions more strictly.,2024-05-02T10:29:37
16,2024-05-16T05:43:55,High spoilage rate of raw milk,Medium,Improved storage conditions and conducted training for handling.,2024-05-17T05:43:55
17,2024-06-17T22:18:35,High spoilage rate of raw milk,High,Improved storage conditions and conducted training for handling.,2024-06-20T22:18:35
18,2024-10-06T07:50:42,Excessive downtime in CIP system,Medium,Revised CIP (Clean-In-Place) schedule and improved efficiency.,2024-10-09T07:50:42
19,2024-09-05T19:32:33,Power fluctuation causing machine downtime,Low,Installed an additional uninterruptible power supply (UPS).,2024-09-06T19:32:33
20,2024-06-05T06:04:58,Excessive machine noise,Medium,Lubricated moving parts and tightened loose components.,2024-06-06T06:04:58
21,2024-06-06T04:53:02,Inefficiency in milk clarification,Low,Enhanced clarification process and reassessed equipment.,2024-06-08T04:53:02
22,2024-07-19T01:02:42,Yield efficiency below target,High,Optimized process parameters to minimize waste.,2024-07-21T01:02:42
23,2024-07-02T21:10:06,Low protein content in raw milk,Medium,"Procured milk from an alternative, higher-quality supplier.",2024-07-03T21:10:06
24,2024-06-12T20:12:24,Excessive machine noise,High,Lubricated moving parts and tightened loose components.,2024-06-15T20:12:24
25,2024-05-05T20:45:35,Delayed fermentation for yogurt,High,Increased culture inoculum amount.,2024-05-08T20:45:35
26,2024-08-03T17:16:20,Low protein content in raw milk,High,"Procured milk from an alternative, higher-quality supplier.",2024-08-04T17:16:20
